ids,rouge/geometric_mean_seg_0,preds_seg_0,preds_seg_0_tokens,target_text,labels
tr-sq-1246,21.3646,"When discussing the issue of allocating the governmental fund, Justin Trudeau mentioned that the","[    0   366 12104     8   962    13   491 21240     8     3 18984  3069
     6 12446  7953    26  1607  2799    24     8]","When talking about the issue of allocating the governmental fund, Yves-Fran questioned why their prime minister at present was acting like something between a prime minister with a majority and a monarch by divine right, he further pointed out that the government was meant to use the $14 million fund to interfere with the political affair of Quebec. But according to Justin Trudeau, the $14 million fund would actually be used to guarantee their people's safety during the pandemic outbreak.","[  366  2508    81     8   962    13   491 21240     8     3 18984  3069
     6     3   476   162     7    18   371  2002     3 21360   572    70
  3427  6323    44   915    47  6922   114   424   344     3     9  3427
  6323    28     3     9  2942    11     3     9 28397    57 13429   269
     6     3    88   856  8744    91    24     8   789    47  3679    12
   169     8 26845   770  3069    12 18960    28     8  1827 18431    13
 22649     5   299  1315    12 12446  7953    26  1607     6     8 26845
   770  3069   133   700    36   261    12  3614    70   151    31     7
  1455   383     8  2131   221  3113 22494     5     1  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-602,11.3574,Suzy Davies thought that the Deputy Minister had not considered amendment 3A because she thought it,"[    0  1923  4164 28571   816    24     8     3 16911  3271   141    59
  1702 12123   220   188   250   255   816    34]","Suzy Davies thought that one person's technical issue was another person's essential part of the legislative procedure and a keen element in scrutiny. Suzy Davies was glad that amendment 8 had removed an order provision. Suzy Davies thought amendment 3A was something of a probing amendment. The amendment 3 seek to give a familiar range of powers in connection with the coming into force of section 1, but it was not a separate commencement power. Amendment 3A was a holding position, which they would return this in Stage 3, because Suzy Davies thought this was an area where this might be valuable to discuss quite what kind of powers were required. Suzy Davies thought there might be something that was beyond transitional, transitory and saving.","[ 1923  4164 28571   816    24    80   568    31     7  2268   962    47
   430   568    31     7  1832   294    13     8 14751  3979    11     3
     9  9805  3282    16 25778     5  1923  4164 28571    47  3755    24
 12123   505   141  3641    46   455  6537     5  1923  4164 28571   816
 12123   220   188    47   424    13     3     9 12361    53 12123     5
    37 12123   220  2762    12   428     3     9  3324   620    13 11552
    16  2135    28     8  1107   139  2054    13  1375  1914    68    34
    47    59     3     9  2450  9158   297   579     5 18397   220   188
    47     3     9  3609  1102     6    84    79   133  1205    48    16
 13578  6180   250  1923  4164 28571   816    48    47    46   616   213
    48   429    36  3435    12  2497   882   125   773    13 11552   130
   831     5  1923  4164 28571   816   132   429    36   424    24    47
  1909  3508   138     6 11811   127    63    11  4380     5     1]"
tr-sq-84,26.2111,Julie Morgan thought it really important to develop Welsh language skills in childcare and play sectors. And they,"[    0 12983 11147   816    34   310   359    12  1344 22982  1612  1098
    16 27862    11   577  8981     5   275    79]","Julie Morgan recommended to believe the demand was very important, and to establish a specific programme to develop Welsh language skills in childcare and played workforce with the National Centre for Learning Welsh to develop workplace Welsh language skills across the sector. And also she agreed on Nicola Edwards's idea that they should have a stakeholder group where they had brought together a variety of people with an interest in the early years, childcare and play sectors.","[12983 11147  3024    12   857     8  2173    47   182   359     6    11
    12  4797     3     9   806  2486    12  1344 22982  1612  1098    16
 27862    11  1944 10312    28     8   868  2969    21  6630 22982    12
  1344  6940 22982  1612  1098   640     8  2393     5   275    92   255
  4686    30     3 21926     9  8200     7    31     7   800    24    79
   225    43     3     9  8474  5235   563   213    79   141  1940   544
     3     9  1196    13   151    28    46  1046    16     8   778   203
     6 27862    11   577  8981     5     1  -100  -100  -100]"
tr-sq-1175,8.8102,The double curved rubber case with rubber was ergonomic and comfortable to hold. The buttons were also,"[    0    37  1486     3 21870  7859   495    28  7859    47 20461    11
  1965    12  1520     5    37 10634   130    92]","Play-Doh would be used as it was very cheap, edible and chew-proof. The energy source would be kinetic power and electronics would be the simplest. For the case, it would be double curved and made of rubber. The interface was push buttons and they would be in special colours and forms. Considering the cost of the above materials, the remote would be within budget as it cost ten seventy euros a unit.","[ 2911    18  4135   107   133    36   261    38    34    47   182  2877
     6 24371    11 15196    18  8592     5    37   827  1391   133    36
     3 27268   579    11 12800   133    36     8     3 21120     5   242
     8   495     6    34   133    36  1486     3 21870    11   263    13
  7859     5    37  3459    47  3292 10634    11    79   133    36    16
   534  6548    11  2807     5     3 21419     8   583    13     8   756
  1397     6     8  4322   133    36   441  1487    38    34   583     3
   324  2391    17    63 10186     3     9  1745     5     1]"
tr-sq-756,33.1115,"When the group was discussing the scroll wheel was not necessary, User Interface thought it would be ","[    0   366     8   563    47 12104     8 11930  5094    47    59  1316
     6  6674 25064   816    34   133    36     3]","When the group was talking about the scroll wheel could be for changing the volume, User Interface thought it would not work for changing the channel because they really need buttons for changing a channel. So User Interface suggested the group could make a decision on it while they talked about the case.","[  366     8   563    47  2508    81     8 11930  5094   228    36    21
  2839     8  2908     6  6674 25064   816    34   133    59   161    21
  2839     8  4245   250    79   310   174 10634    21  2839     3     9
  4245     5   264  6674 25064  5259     8   563   228   143     3     9
  1357    30    34   298    79  6812    81     8   495     5     1  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100]"
tr-sq-145,15.7367,"The team thought that the team's work was satisfactory, and they should give credit to the","[    0    37   372   816    24     8   372    31     7   161    47 25140
     6    11    79   225   428   998    12     8]","The team thought the creativity of the team was okay, as they felt that they got chances to express themselves well enough, but there were still some problems in their process of discussion. Then, Industrial Designer gave an example on how to improve the creativeness of the team. The team believed that their team work went well. As for the methods of discussion, Project manager thought that he was still not familiar with the operation of computers.","[   37   372   816     8  6933    13     8   372    47  8957     6    38
    79  1800    24    79   530  6209    12  3980  1452   168   631     6
    68   132   130   341   128   982    16    70   433    13  3071     5
    37    29     6  9199 11296  1891    46   677    30   149    12  1172
     8  1812   655    13     8   372     5    37   372  6141    24    70
   372   161   877   168     5   282    21     8  2254    13  3071     6
  2786  2743   816    24     3    88    47   341    59  3324    28     8
  2986    13  7827     5     1]"
tr-sq-1086,26.767,The opposition party raised concerns that the changes would harm workers' and pensioners' livelihoods.,"[    0    37  8263  1088  3279  3315    24     8  1112   133  6263  2765
    31    11  8645   277    31 27656     7     5]","The opposition party raised the problem that thousands of Canadian workers were exposed and vulnerable, and might experience bankruptcy anytime. The opposition party also stated that the changes the government made last year to bankruptcy insolvency laws were largely cosmetic and would not protect workers' and pensioners' livelihoods once bankruptcy hits. The Minister explained that they were continuing to absolutely ensure that pensions are protected.","[   37  8263  1088  3279     8   682    24  2909    13  4151  2765   130
  6666    11  9930     6    11   429   351 14160 11008     5    37  8263
  1088    92  4568    24     8  1112     8   789   263   336   215    12
 14160    16  6065  4392  3786   130     3  6974  8602    11   133    59
  1822  2765    31    11  8645   277    31 27656     7   728 14160  8046
     5    37  3271  5243    24    79   130  6168    12  2997   766    24
  8645     7    33  5046     5     1  -100  -100  -100  -100  -100  -100
  -100]"
tr-sq-96,14.6577,User Interface thought that the speech recognition command was not necessary because it was already established in the market,"[    0  6674 25064   816    24     8  5023  5786  4106    47    59  1316
   250    34    47   641  2127    16     8   512]","User Interface found this feature great, but he noticed that the ambient sound coming from television would confuse the speech recognition and might accidentally trigger the remote control. User Interface pointed out that Industrial Designer had to make sure the speech recognizer would be good enough to filter out the television speech and recognize only the user's voice. He believed that this feature, once successfully achieved, would make the product popular on the market.","[ 6674 25064   435    48  1451   248     6    68     3    88  4944    24
     8 21128  1345  1107    45  4390   133 27446     8  5023  5786    11
   429 21169  7294     8  4322   610     5  6674 25064  8744    91    24
  9199 11296   141    12   143   417     8  5023  4206    52   133    36
   207   631    12  4191    91     8  4390  5023    11  4206   163     8
  1139    31     7  2249     5   216  6141    24    48  1451     6   728
  4234  5153     6   133   143     8   556  1012    30     8   512     5
     1]"
tr-gq-999,14.056,"This was the sixth scrutiny session on the Children Bill, which focused on the Abolition of","[    0   100    47     8 13305 25778  2363    30     8  4351  3259     6
    84  2937    30     8    71  4243  4749    13]","This was a Children, Young People and Education Committee, and it was the sixth scrutiny session on the Children Bill, specifically on Abolition of Defense of Reasonable Punishment. To start this meeting, Alastair Birch shared opinion on why people think the current law was inefficient and unclear, and then Sally Jenkins listed some evidence that physical punishment was actually harmful. Then they had some discussions on how to balance the need for greater clarity around the definition of what constitutes corporal punishment, and the importance of simplicity in the Bill. This discussion led to a further discussion on the implementation phase for that nuancing, and its impact on other services. After sharing all of these positive feedbacks in terms of the Bill and its intention, they had some discussions on unintended consequences for this Bill. Then some specific questions on implementation for social services, and its impact on education were proposed and answered. Finally, they had some discussions on the importance of awareness raising.","[  100    47     3     9  4351     6  5209  2449    11  2855  3201     6
    11    34    47     8 13305 25778  2363    30     8  4351  3259     6
  3346    30    71  4243  4749    13 13143    13 21272   179 18266  1273
   297     5   304   456    48  1338     6   901     9 15303 10158   524
  2471  3474    30   572   151   317     8   750   973    47    16 16995
    11 19363     6    11   258   180  1427 28779  2616   128  2084    24
  1722 19372    47   700 10947     5    37    29    79   141   128  7574
    30   149    12  2109     8   174    21  2123 12428   300     8  4903
    13   125 11708     7 29475 19372     6    11     8  3172    13 16538
    16     8  3259     5   100  3071  2237    12     3     9   856  3071
    30     8  4432  3944    21    24   206     9  4733     6    11   165
  1113    30   119   364     5   621  2178    66    13   175  1465  3160
     7    16  1353    13     8  3259    11   165  8762     6    79   141
   128  7574    30    73    23 25916  7702    21    48  3259     5    37
    29   128   806   746    30  4432    21   569   364     6    11   165
  1113    30  1073   130  4382    11  9986     5  4213     6    79   141
   128  7574    30     8  3172    13  4349  7954     5     1]"
tr-sq-204,34.6738,The group got an email introducing what the project was about and they would be meeting for the,"[    0    37   563   530    46   791     3 13505   125     8   516    47
    81    11    79   133    36  1338    21     8]","Group mates all should have received an email introducing what was this project about and there would be three different stages to the design. The project was about designing a new remote control, which was supposed to be original, trendy, and user friendly.","[ 1531     3 11171    66   225    43  1204    46   791     3 13505   125
    47    48   516    81    11   132   133    36   386   315  6518    12
     8   408     5    37   516    47    81  8296     3     9   126  4322
   610     6    84    47  5741    12    36   926     6 18571     6    11
  1139  2609     5     1  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-1216,39.0665,Hon. Ahmed Hussen mentioned that the government had announced a new federal bill for the disability,"[    0 11772     5 22928  3455  4932  2799    24     8   789   141  2162
     3     9   126  2822  2876    21     8 10050]","Hon. Ahmed Hussen mentioned that the government had announced a one-time of $600 for persons with disabilities to address the expense in need. However, this bill was refused by the Conservatives yet it was expected to be passed in one day.","[11772     5 22928  3455  4932  2799    24     8   789   141  2162     3
     9    80    18   715    13  1514  6007    21  7609    28 12490    12
  1115     8  8225    16   174     5   611     6    48  2876    47 12191
    57     8 23053     7   780    34    47  1644    12    36  2804    16
    80   239     5     1  -100  -100  -100  -100  -100  -100]"
tr-sq-457,41.9262,The professor was the one to raise the issue and suggested that the best way would be to add,"[   0   37 5812   47    8   80   12 3033    8  962   11 5259   24    8
  200  194  133   36   12  617]",The professor was the one to raise the issue and suggested that a knowledge engineering trick could be used to narrow down inputs. He thought that perhaps adding deterministic rules to properties that have actions would be helpful and the property types could be retrieved from the ontology.,"[   37  5812    47     8    80    12  3033     8   962    11  5259    24
     3     9  1103  3867  7873   228    36   261    12  5658   323  3785
     7     5   216   816    24  2361  2651     3 16372  3040  2219    12
  2605    24    43  2874   133    36  2690    11     8   785  1308   228
    36     3 31340    45     8    30    17  1863     5     1]"
tr-sq-171,14.4618,"User Interface proposed to design a display on the remote control, but it was not feasible.","[    0  6674 25064  4382    12   408     3     9  1831    30     8  4322
   610     6    68    34    47    59 20218     5]","User Interface proposed to reconsider the necessity of adopting a display in consideration of two factors. One was that the television screen already made a big display, the other was that the cost-efficiency of a display was doubtful. In view of the cost constraint, sacrificing the display feature could be a reasonable option. Project Manager then asked Marketing to conduct research on this subject before making the final decision about the adoption of the display.","[ 6674 25064  4382    12 27812     8 16696    13  4693    53     3     9
  1831    16  4587    13   192  2580     5   555    47    24     8  4390
  1641   641   263     3     9   600  1831     6     8   119    47    24
     8   583    18 31640    13     3     9  1831    47  3228  1329     5
    86   903    13     8   583 27354    17     6     3 30016     8  1831
  1451   228    36     3     9  4360  1182     5  2786  3440   258  1380
  4329    12  3498   585    30    48  1426   274   492     8   804  1357
    81     8  9284    13     8  1831     5     1  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-1126,16.7246,The group discussed the details on the new remote control design and the plan for the next meeting.,"[   0   37  563 5172    8 1030   30    8  126 4322  610  408   11    8
  515   21    8  416 1338    5]","The team made some decisions on the remote control design for the present stage. The keypad was given up, for a menu display could better classify channels into subgroups. Standard components such as the conventional battery were the final choices for the remote control. The team would adopt a double-curved design and rubber material. A corporate logo would be incorporated. There would be a special beeping sound for the location function. The new remote control could be programmed on the LCD screen as well as using software on the computer. In the next meeting, Industrial Designer and User Interface would present a prototype of the remote control. The team would also make a product evaluation.","[   37   372   263   128  3055    30     8  4322   610   408    21     8
   915  1726     5    37   843  5612    47   787    95     6    21     3
     9  2285  1831   228   394   853  4921  6047   139   769 10739     7
     5  5150  3379   224    38     8  7450  3322   130     8   804  3703
    21     8  4322   610     5    37   372   133  4693     3     9  1486
    18 21870   408    11  7859  1037     5    71  2849  3554   133    36
     3 10975     5   290   133    36     3     9   534    36    15  2462
  1345    21     8  1128  1681     5    37   126  4322   610   228    36
  2486    26    30     8 15462  1641    38   168    38   338   889    30
     8  1218     5    86     8   416  1338     6  9199 11296    11  6674
 25064   133   915     3     9 14402    13     8  4322   610     5    37
   372   133    92   143     3     9   556  5002     5     1]"
tr-sq-566,22.7324,"The team came up with a way to reduce the cost of the remote control, which was","[   0   37  372  764   95   28    3    9  194   12 1428    8  583   13
    8 4322  610    6   84   47]","In general, the team came up with two ways to reduce the costs. First, they would essentially remain the same shape as the prototypes, but just have it flattened. In User Interface's words, it would be more like a traditional remote control. Second, the team reached a consensus that the design of double curves shall be changed into a single curve since it was the biggest expense there. Luckily, after the discussion, the overall cost of the new remote controls went down to eleven Euros sixty.","[   86   879     6     8   372   764    95    28   192  1155    12  1428
     8  1358     5  1485     6    79   133     3  8317  2367     8   337
  2346    38     8 14402     7     6    68   131    43    34  2667    17
  4632     5    86  6674 25064    31     7  1234     6    34   133    36
    72   114     3     9  1435  4322   610     5  5212     6     8   372
  3495     3     9 16698    24     8   408    13  1486  8435     7  1522
    36  2130   139     3     9   712  8435   437    34    47     8  2630
  8225   132     5     3 16996     6   227     8  3071     6     8  1879
   583    13     8   126  4322  7415   877   323    12 20394  2430     7
 27757     5     1]"
tr-sq-328,12.0461,"According to Kirsty Williams, when it comes to individual interventions, those individual interventions should","[    0  2150    12 10976     7    17    63  6060     6   116    34   639
    12   928 14418     6   273   928 14418   225]","According to Kirsty Williams, people should look at exclusions and also have to read across about how the whole system works, not just the PDG element of the system. 66% of looked-after learners have some additional learning need, so they can't just look at it in terms of this particular source of funding. It can't be just the job of the PDG.","[ 2150    12 10976     7    17    63  6060     6   151   225   320    44
  1215 11593     7    11    92    43    12   608   640    81   149     8
   829   358   930     6    59   131     8   276 13535  3282    13     8
   358     5   431  6370    13  2299    18 10245 15257    43   128  1151
  1036   174     6    78    79    54    31    17   131   320    44    34
    16  1353    13    48  1090  1391    13  3135     5    94    54    31
    17    36   131     8   613    13     8   276 13535     5     1  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100]"
tr-sq-87,8.8756,Julie Morgan admitted that they were not in a position to settle the issues with HMRC because,"[    0 12983 11147 10246    24    79   130    59    16     3     9  1102
    12  8955     8   807    28   454 27396   250]","Jo-Anne Daniels finally came to the conclusion that they could deliver a cheaper system with flexibility that the Deputy Minister had referred to by working with local authorities rather than HMRC. At the moment, the extra cost would be about £2.5 million, which according to their initial estimate suggested that it would be less than the cost proposed by HMRC.","[ 2194    18 17608    15  4173     7  2031   764    12     8  7489    24
    79   228  2156     3     9  8139   358    28  6461    24     8     3
 16911  3271   141     3  4822    12    57   464    28   415  5779  1066
   145   454 27396     5   486     8   798     6     8   996   583   133
    36    81  3996 15967   770     6    84  1315    12    70  2332  7037
  5259    24    34   133    36   705   145     8   583  4382    57   454
 27396     5     1]"
tr-sq-353,23.8634,PhD C explained that the best silence detection was using nine frames of features from OGI. The,"[    0 10360   205  5243    24     8   200 10844 10664    47   338  4169
 10023    13   753    45   411  7214     5    37]","PhD C explained that there was no room left for silence detection because of the server side delay. They were working out a compromise between the handset delay and the server delay, but the delay was too large at the moment.","[10360   205  5243    24   132    47   150   562   646    21 10844 10664
   250    13     8  2460   596  7230     5   328   130   464    91     3
     9 12326   344     8 26331  7230    11     8  2460  7230     6    68
     8  7230    47   396   508    44     8   798     5     1  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100]"
tr-sq-901,9.7689,"PhD A informed the team that the team was working on image processing for the new system, but","[    0 10360    71  4862     8   372    24     8   372    47   464    30
  1023  3026    21     8   126   358     6    68]","PhD A thought that a good VAD could not be made without baseline features. On-line normalization was not helping the model when spectral subtraction was already in play. The short filters were performing as well as the long ones, and the model was doing well on the well-matched case. Despite mixed results, the shorter latency was a positive sign.","[10360    71   816    24     3     9   207  9039   308   228    59    36
   263   406 20726   753     5   461    18   747  1389  1707    47    59
  2022     8   825   116     3  5628  4900   769 10559    47   641    16
   577     5    37   710 10607   130  5505    38   168    38     8   307
  2102     6    11     8   825    47   692   168    30     8   168    18
 10304   495     5     3  4868  4838   772     6     8 10951  1480 11298
    47     3     9  1465  1320     5     1  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100]"
tr-sq-371,11.5765,Dr Frank Atherton first gave a very clear answer to how gaps in their data would,"[    0   707  4937    71   189 24471   166  1891     3     9   182   964
  1525    12   149 15853    16    70   331   133]","Dr Frank Atherton put out one “often asked” question and attached some importance to having a longitudinal view over time of what's happening to Children, which meant children were measured at school entry and then again at age 11 or 12. That would have significant resource implications, not just for the funding, but also for schools and for the system to deliver it. And also, according to Dr Frank Atherton, the longitudinal data would be helpful in strategy evaluation.","[  707  4937    71   189 24471   474    91    80   105   858   324  1380
   153   822    11  5223   128  3172    12   578     3     9 29308   903
   147    97    13   125    31     7  4626    12  4351     6    84  3679
   502   130  8413    44   496  1764    11   258   541    44  1246   850
    42  8013   466   133    43  1516  3487 12418     6    59   131    21
     8  3135     6    68    92    21  2061    11    21     8   358    12
  2156    34     5   275    92     6  1315    12   707  4937    71   189
 24471     6     8 29308   331   133    36  2690    16  1998  5002     5
     1]"
tr-gq-1111,18.5721,"The meeting focused on the progress of the project. The team discussed the progress of the project,","[   0   37 1338 2937   30    8 2188   13    8  516    5   37  372 5172
    8 2188   13    8  516    6]","The meeting included an introduction to the project, the mechanics of training the data, standardizing the data for the models, the time involved, and planning efficient use of computational resources . The team members shared and discussed the existing model as well as the tests they intended to run. There was a problem standardizing labels as well as converting HTK labels to the format that the team wanted. Adding more dimensions to the current model was also causing concern because of the upper bound on computational resources.","[   37  1338  1285    46  5302    12     8   516     6     8 11754     7
    13   761     8   331     6  1068  2610     8   331    21     8  2250
     6     8    97  1381     6    11  1459  2918   169    13 25850  1438
     3     5    37   372   724  2471    11  5172     8  1895   825    38
   168    38     8  3830    79  3855    12   661     5   290    47     3
     9   682  1068  2610 11241    38   168    38     3 21049   454 22110
 11241    12     8  1910    24     8   372  1114     5     3 22612    72
  8393    12     8   750   825    47    92     3  5885  2410   250    13
     8  4548  8120    30 25850  1438     5     1  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100]"
tr-sq-77,6.0405,Julie Morgan thought it was really important to understand the differences between different parts of Wales and to have,"[    0 12983 11147   816    34    47   310   359    12   734     8  5859
   344   315  1467    13 10256    11    12    43]","The Welsh and UK Governments had followed a demand-driven approach to the childcare market, with subsidies mainly given to working parents, which was a mistake and should be more universally available. The demand-driven approach was based more on certain factors: geographic spread in terms of it being more universal, and whether that's the right way. It was hard for children to mix with peers from different backgrounds and age groups? Next, some areas had traditionally got more childcare anyway because they had traditionally more demand in those areas, so there was not a level playing field to start from.","[   37 22982    11  1270  3141     7   141  2348     3     9  2173    18
 11570  1295    12     8 27862   512     6    28 26994     3  4894   787
    12   464  1362     6    84    47     3     9  6202    11   225    36
    72  7687   120   347     5    37  2173    18 11570  1295    47     3
   390    72    30   824  2580    10 20929  3060    16  1353    13    34
   271    72  7687     6    11   823    24    31     7     8   269   194
     5    94    47   614    21   502    12  2153    28 13359    45   315
 15902    11  1246  1637    58  3021     6   128   844   141 16910   530
    72 27862  6161   250    79   141 16910    72  2173    16   273   844
     6    78   132    47    59     3     9   593  1556  1057    12   456
    45     5     1]"
tr-sq-786,61.0213,"Julie Morgan answered questions about the bill's impact on other agencies, including the social service,","[    0 12983 11147  9986   746    81     8  2876    31     7  1113    30
   119  4299     6   379     8   569   313     6]","Julie Morgan answered questions about the bill's impact on other agencies, including the social service, MASHs, CAFCASS. Morgan emphasized the dependence of their work as well as the feasibility of workload changed by the bill.","[12983 11147  9986   746    81     8  2876    31     7  1113    30   119
  4299     6   379     8   569   313     6   283 21337     7     6  3087
   371 18678   134     5 11147     3 25472     8 24264    13    70   161
    38   168    38     8 28297    13 22453  2130    57     8  2876     5
     1  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-81,20.7415,Julie Morgan thought it was really important to have a demand-led approach in the programme.,"[    0 12983 11147   816    34    47   310   359    12    43     3     9
  2173    18  1361  1295    16     8  2486     5]","Julie Morgan certainly plans to expand the programme, which is believed to be a demand-led approach. Last they were managing it within the normal budgetary process, developing a more integrated approach towards the early years, and had got the system of inspection to ensure that. Because some of their provision was universally available in certain areas. Hence historically that was definitely true of the programme.","[12983 11147  1852  1390    12  4405     8  2486     6    84    19  6141
    12    36     3     9  2173    18  1361  1295     5  2506    79   130
  5037    34   441     8  1389  1487  1208   433     6  2421     3     9
    72  4580  1295  1587     8   778   203     6    11   141   530     8
   358    13  6082    12   766    24     5  2070   128    13    70  6537
    47  7687   120   347    16   824   844     5     3 13151 20160    24
    47  1728  1176    13     8  2486     5     1]"
tr-gq-795,17.4225,The meeting was about the Abolition of Defence of Reasonable Punishment Bill. Julie,"[    0    37  1338    47    81     8    71  4243  4749    13 24296    13
 21272   179 18266  1273   297  3259     5 12983]","This meeting mainly talked about the Abolition of Defence of Reasonable Punishment Bill. Julie Morgan, Deputy Minister for Health and Social Services, and Karen Cornish, deputy director of the Children and Families Division, took charge of answering the relevant questions. To start with, the meeting first discussed the motivation of such legislation and the impact on social service and other agencies. Support for parents and teachers were then discussed, involving their demands and means to address. To continue, the meeting turned to the criminal perspective, discussing the out-of-court disposals, malicious reporting, and non-conviction information. The next step was to talk about costings, followed by the topic of human rights and eventually the awareness raising.","[  100  1338     3  4894  6812    81     8    71  4243  4749    13 24296
    13 21272   179 18266  1273   297  3259     5 12983 11147     6     3
 16911  3271    21  1685    11  2730  1799     6    11 14412 11673  1273
     6 21108  2090    13     8  4351    11  7453     7  6022     6   808
  1567    13 18243     8  2193   746     5   304   456    28     6     8
  1338   166  5172     8  6620    13   224  6704    11     8  1113    30
   569   313    11   119  4299     5  4224    21  1362    11  3081   130
   258  5172     6     3  6475    70  7328    11   598    12  1115     5
   304   916     6     8  1338  2120    12     8  4336  3503     6 12104
     8    91    18   858    18 14492 12375     7     6 22326  5099     6
    11   529    18  1018 29797   251     5    37   416  1147    47    12
  1350    81   583    53     7     6  2348    57     8  2859    13   936
  2166    11  3725     8  4349  7954     5     1]"
tr-sq-258,15.0789,Marketing thought that repetitive strain injury was a problem because people might not use the same remote control,"[    0  4329   816    24 24869  6035  2871    47     3     9   682   250
   151   429    59   169     8   337  4322   610]",Marketing was asking what RSI was when mentioning the user needs to be easy to use. User Interface answered that it was repetitive strain injury. So Marketing denied this function because it did not match people's operating behaviour and users wanted a remote control with fewer buttons which would be easy to learn. Just like the audio setting was not given as much importance and visibility on the remote as something like channel changing that's used a lot more often.,"[ 4329    47  3558   125     3  5249   196    47   116     3 27492     8
  1139   523    12    36   514    12   169     5  6674 25064  9986    24
    34    47 24869  6035  2871     5   264  4329 11958    48  1681   250
    34   410    59  1588   151    31     7  2699  7916    11  1105  1114
     3     9  4322   610    28     3 10643 10634    84   133    36   514
    12   669     5  1142   114     8  2931  1898    47    59   787    38
   231  3172    11 12435    30     8  4322    38   424   114  4245  2839
    24    31     7   261     3     9   418    72   557     5     1  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-164,21.7928,The participants thought that a meeting is a natural meeting and that it does not necessarily ,"[   0   37 3008  816   24    3    9 1338   19    3    9  793 1338   11
   24   34  405   59 6539    3]","The participants were skeptical that a two person conversation in the hallway constituted a meeting for their purposes. They thought that it would be okay to include this kind of data in their corpus for future researchers, but they should separate it. The Professor has a strong opinion that these interactions were not actually meetings.","[   37  3008   130 27716    24     3     9   192   568  3634    16     8
 24409     3 31958     3     9  1338    21    70  3659     5   328   816
    24    34   133    36  8957    12   560    48   773    13   331    16
    70 11736   302    21   647  4768     6    68    79   225  2450    34
     5    37  5589    65     3     9  1101  3474    24   175  9944   130
    59   700  4677     5     1  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100]"
