ids,pred_seg_0,labels_seg_0
504_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
370_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
441_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
332_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
439_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
377_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
574_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
303_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
191_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
166_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
132_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
382_nda-15,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
252_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
419_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
378_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
340_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
226_nda-4,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
522_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
369_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
338_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
428_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
261_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
399_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
527_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
215_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
263_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
430_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
410_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
417_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
622_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
375_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
459_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
572_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
162_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
379_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
134_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
265_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
290_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
475_nda-3,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
569_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
224_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
345_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
91_nda-11,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
603_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
365_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
297_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
292_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
251_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
257_nda-17,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
530_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
454_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
580_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
397_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
379_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
572_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
329_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
327_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
216_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
153_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
207_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
338_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
113_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
516_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
161_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
89_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
573_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
334_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
485_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
416_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
314_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
607_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
86_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
151_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
250_nda-16,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
371_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
612_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
113_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
268_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
499_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
619_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
299_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
112_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
313_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
253_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
489_nda-8,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
495_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
135_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
113_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
579_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
427_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
262_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
299_nda-15,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
349_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
419_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
139_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
374_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
624_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
504_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
603_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
607_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
108_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
524_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
163_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
236_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
299_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
177_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
325_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
324_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
295_nda-5,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
264_nda-4,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
235_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
353_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
95_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
339_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
335_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
224_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
278_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
93_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
338_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
380_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
137_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
192_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
158_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
438_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
91_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
317_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
155_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
139_nda-7,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
283_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
223_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
495_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
285_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
102_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
315_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
177_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
198_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
133_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
572_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
490_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
189_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
261_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
556_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
318_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
259_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
230_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
375_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
177_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
339_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
580_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
503_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
314_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
329_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
326_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
214_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
236_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
410_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
308_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
105_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
360_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
393_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
342_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
396_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
541_nda-3,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
553_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
624_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
280_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
583_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
553_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
285_nda-15,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
284_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
442_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
393_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
614_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
111_nda-11,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
332_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
553_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
414_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
277_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
447_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
269_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
294_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
360_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
458_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
489_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
320_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
472_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
481_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
581_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
101_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
556_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
483_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
244_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
118_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
383_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
311_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
158_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
340_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
424_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
473_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
332_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
160_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
602_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
340_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
570_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
567_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
197_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
286_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
139_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
215_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
200_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
623_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
186_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
108_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
534_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
319_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
195_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
416_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
489_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
268_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
449_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
568_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
209_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
224_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
573_nda-16,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
208_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
410_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
431_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
269_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
242_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
570_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
282_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
383_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
615_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
608_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
236_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
612_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
135_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
248_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
240_nda-13,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
89_nda-8,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
347_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
515_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
271_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
195_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
124_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
443_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
255_nda-5,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
279_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
281_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
517_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
422_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
122_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
360_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
550_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
617_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
300_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
485_nda-16,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
374_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
182_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
279_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
353_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
560_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
353_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
100_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
443_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
312_nda-7,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
159_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
122_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
556_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
258_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
169_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
191_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
240_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
535_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
274_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
399_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
503_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
257_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
216_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
328_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
437_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
334_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
222_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
617_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
237_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
350_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
313_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
196_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
468_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
132_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
159_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
437_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
179_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
115_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
317_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
272_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
487_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
421_nda-17,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
495_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
443_nda-4,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
111_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
267_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
485_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
490_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
538_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
206_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
341_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
419_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
608_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
499_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
134_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
193_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
100_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
382_nda-4,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
599_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
599_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
277_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
106_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
554_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
604_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
316_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
114_nda-3,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
222_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
527_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
353_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
426_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
241_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
258_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
466_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
221_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
566_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
150_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
206_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
342_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
468_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
475_nda-13,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
462_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
242_nda-17,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
573_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
459_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
441_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
240_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
142_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
355_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
133_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
294_nda-11,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
246_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
86_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
402_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
474_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
219_nda-16,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
208_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
567_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
489_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
34_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
256_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
573_nda-5,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
383_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
447_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
367_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
522_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
447_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
103_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
